0 2658 4567 0
1 2908 7189 0
2 9241 802 0
3 2570 6311 0
4 4997 6446 0
5 5241 1227 0
6 3997 2725 0
7 7084 5137 0
8 7 7818 0
9 8857 5171 0
10 5034 5338 0
11 8475 3643 0
12 3913 4446 0
13 581 4185 0
14 5362 6286 0
15 4680 3317 0
16 4239 1771 0
17 6145 1392 0
18 6125 1854 0
19 2237 662 0
20 973 4088 0
21 3406 1518 0
22 2013 9941 0
23 6364 3402 0
24 8677 9067 0
25 5475 5966 0
26 5003 9261 0
27 9628 2347 0
28 2644 7840 0
29 9541 513 0
30 9461 7886 0
31 7485 6097 0
32 6220 5449 0
33 7688 5286 0
34 7115 4787 0
35 2500 9841 0
36 3030 3957 0
37 9822 2869 0
38 2066 9732 0
39 9842 8729 0
40 2710 4542 0
41 8320 4349 0
42 1652 2195 0
43 6087 8793 0
44 9560 4603 0
45 4513 8172 0
46 5813 4098 0
47 8529 4458 0
48 3526 3810 0
49 5373 6362 0
50 2527 3480 0
51 8301 2030 0
52 1660 5405 0
53 7023 5767 0
54 1639 1575 0
55 5535 6245 0
56 5011 6442 0
57 3759 2975 0
58 1763 4593 0
59 5750 8483 0
60 7341 9361 0
61 425 7608 0
62 5756 6273 0
63 4280 2271 0
64 917 8930 0
65 6379 9343 0
66 3500 4802 0
67 9074 7374 0
68 7838 379 0
69 193 150 0
70 2550 1341 0
71 9060 2624 0
72 3039 1143 0
73 2111 6450 0
74 9889 6625 0
75 3492 8589 0
76 6557 5188 0
77 9160 922 0
78 8420 498 0
79 2775 4601 0
80 3099 5518 0
81 4293 3868 0
82 6490 8649 0
83 6044 8116 0
84 2892 559 0
85 6238 7575 0
86 4535 1682 0
87 759 1523 0
88 1920 2487 0
89 2282 6607 0
90 7662 2902 0
91 7785 1640 0
92 1835 8032 0
93 9766 624 0
94 6152 125 0
95 237 901 0
96 7992 6324 0
97 1566 9643 0
98 4298 7742 0
99 87 522 0
100 2013 3124 0
101 7970 863 0
102 7059 4385 0
103 8989 6988 0
104 8185 1196 0
105 5810 230 0
106 4193 1058 0
107 5961 184 0
108 1306 7947 0
109 8014 6292 0
110 4935 6576 0
111 5786 902 0
112 9996 4830 0
113 3889 9875 0
114 7720 710 0
115 9644 6552 0
116 6939 5602 0
117 5455 9746 0
