0 15 35 0
1 22 19 0
2 1 39 0
3 22 20 0
4 23 48 0
5 7 10 0
6 41 24 0
7 24 2 0
8 8 14 0
9 17 38 0
10 40 49 0
11 45 12 0
12 3 25 0
13 45 46 0
14 35 4 0
15 22 22 0
16 6 3 0
17 34 33 0
18 7 22 0
19 29 47 0
20 40 13 0
21 9 24 0
22 45 42 0
23 48 38 0
24 35 35 0
25 45 1 0
26 16 5 0
27 17 23 0
28 46 28 0
29 0 15 0
30 38 40 0
31 26 4 0
32 26 35 0
33 43 19 0
34 3 29 0
35 24 13 0
36 40 17 0
37 49 10 0
38 7 28 0
39 34 23 0
40 16 1 0
41 28 19 0
42 49 8 0
43 47 26 0
44 6 15 0
45 39 33 0
46 48 45 0
47 23 36 0
48 21 33 0
49 7 34 0
